"covariate_id","covariate_name","mean_target_before","mean_comparator_before","smd_before","mean_target_after","mean_comparator_after","smd_after"
1901,"Charlson index - Romano adaptation",0.6144,0.4024,0.3437,0.3988,0.4024,-0.0063
4266809104,"condition_occurrence during day -30 through 0 days relative to index: Diverticular disease",0.1878,0.0759,0.3353,0.0795,0.0759,0.0135
4266809103,"condition_occurrence during day -180 through 0 days relative to index: Diverticular disease",0.1878,0.0759,0.3353,0.0795,0.0759,0.0135
4266809102,"condition_occurrence during day -365 through 0 days relative to index: Diverticular disease",0.1878,0.0759,0.3353,0.0795,0.0759,0.0135
4266809210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Diverticular disease",0.1878,0.0759,0.3353,0.0795,0.0759,0.0135
4285898102,"condition_occurrence during day -365 through 0 days relative to index: Polyp of colon",0.1728,0.0771,0.2924,0.0759,0.0771,-0.0045
4285898210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Polyp of colon",0.1728,0.0771,0.2924,0.0759,0.0771,-0.0045
30753102,"condition_occurrence during day -365 through 0 days relative to index: Esophagitis",0.1006,0.0434,0.2226,0.0434,0.0434,0
30753210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Esophagitis",0.1006,0.0434,0.2226,0.0434,0.0434,0
4285898103,"condition_occurrence during day -180 through 0 days relative to index: Polyp of colon",0.0928,0.047,0.1803,0.0289,0.047,-0.0947
81893210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Ulcerative colitis",0.0311,0.0108,0.1418,0.0145,0.0108,0.0323
81893102,"condition_occurrence during day -365 through 0 days relative to index: Ulcerative colitis",0.0311,0.0108,0.1418,0.0145,0.0108,0.0323
4112343210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Acute viral pharyngitis",0.0761,0.047,0.1214,0.0434,0.047,-0.0174
4112343102,"condition_occurrence during day -365 through 0 days relative to index: Acute viral pharyngitis",0.0744,0.0458,0.1208,0.0434,0.0458,-0.0117
4112343103,"condition_occurrence during day -180 through 0 days relative to index: Acute viral pharyngitis",0.0394,0.0205,0.1114,0.0217,0.0205,0.0084
1965006,"index year: 1965",0.0006,0.006,-0.0956,0,0.006,-0.1101
3006322702,"measurement during day -365 through 0 days relative to index: Oral temperature",0.0806,0.0566,0.0948,0.0506,0.0566,-0.0267
4310024102,"condition_occurrence during day -365 through 0 days relative to index: Angiodysplasia of stomach",0.0044,0,0.0945,0.0024,0,0.0695
4310024210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Angiodysplasia of stomach",0.0044,0,0.0945,0.0024,0,0.0695
2003006,"index year: 2003",0.0217,0.0373,-0.0928,0.0265,0.0373,-0.0617
30753103,"condition_occurrence during day -180 through 0 days relative to index: Esophagitis",0.0222,0.0108,0.0893,0.0072,0.0108,-0.0382
372328210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Otitis media",0.0067,0.0012,0.0873,0.0036,0.0012,0.0492
46235214702,"measurement during day -365 through 0 days relative to index: Sexual orientation",0,0.0036,-0.0852,0,0.0036,-0.0852
381316102,"condition_occurrence during day -365 through 0 days relative to index: Cerebrovascular accident",0,0.0036,-0.0852,0,0.0036,-0.0852
40758406702,"measurement during day -365 through 0 days relative to index: HIV status",0,0.0036,-0.0852,0,0.0036,-0.0852
3051031702,"measurement during day -365 through 0 days relative to index: History of Hospitalizations+Outpatient visits Narrative",0,0.0036,-0.0852,0,0.0036,-0.0852
4202451502,"procedure_occurrence during day -365 through 0 days relative to index: Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance",0,0.0036,-0.0852,0,0.0036,-0.0852
