"","Before matching","","","After matching","",""
"","Celecoxib","Diclofenac","","Celecoxib","Diclofenac",""
"Characteristic","% (n = 1,800)","% (n = 830)","Std. diff","% (n = 830)","% (n = 830)","Std. diff"
"Age group","   ","   ","   ","   ","   ","   "
"   30 -  34"," 11.4"," 11.9","-0.02"," 12.0"," 11.9"," 0.00"
"   35 -  39"," 47.9"," 49.3","-0.03"," 49.2"," 49.3"," 0.00"
"   40 -  44"," 36.7"," 35.7"," 0.02"," 34.7"," 35.7","-0.02"
"   45 -  49","  4.0","  3.1"," 0.05","  4.1","  3.1"," 0.05"
"Gender: female"," 50.3"," 52.4","-0.04"," 52.3"," 52.4"," 0.00"
"Medical history: General","   ","   ","   ","   ","   ","   "
"  Osteoarthritis","100.0","100.0","  NaN","100.0","100.0","  NaN"
"  Rheumatoid arthritis","  0.1","  0.0"," 0.03","   ","   ","   "
"  Ulcerative colitis","  3.1","  1.1"," 0.14","  1.4","  1.1"," 0.03"
"Medical history: Cardiovascular disease","   ","   ","   ","   ","   ","   "
"  Coronary arteriosclerosis","  0.2","  0.1"," 0.01","  0.2","  0.1"," 0.03"
